Alabama Link;Alabama Link;ysf.c4fm.se;42000;000
AU AUYSF001;1st World YSFR;64.137.181.152;42000;000
AU FUSION2;AU Reflector2;aufusion2.ysfreflector.net;42000;000
CA YSF005;QC Fusion;ysf.ve2mrc.com;42000;000
CT WIRESCAT;C4FM Catalunya;c4fm.ea3hkb.com;42000;000
CZ Czech;TG2300 DCS019V;80.250.3.114;42000;000
DE Germany;TG26208;c4fm.ysfreflector.de;42000;000
DE Germany2;no bridge;c4fm.ysfreflector.de;42001;000
1;ES YSF004 EDT;C4FM Reflector;c4fm.sustrai.org;42000;000
2;FON-Gateway;AllModes-GW;ysf-fon.f1tzo.com;42000;000
3;FR YSF-France;Fusion France;m55.evxonline.net;42000;000
4;FUSION-ITALY;Italy YSFR;c4fm-it.selfip.com;42000;000
5;FUSIONBE2;FusionBelgium;ysf.on4top.be;42000;000
6;GB Fusion Kernow;Fusion SW UK;mb6cc.dyndns.org;43000;000
7;GR YSF202;Fusion Greece;ysf202.dv4gr.eu;42000;000
8;IT Roma;Roma YSF Ref;romaroom.ddns.net;42000;000
9;IT YRF003 CISAR;www.cisar.it;xrf003.iw0red.it;42000;000
10;NL Central;CENTRAL NL;c4fm.pa7lim.nl;42000;000
11;NL YSF444;Dutch Refl.;ysf444.pa3dfn.nl;42000;000
12;PL POLAND;DMR TG260;ysf260.ham-dmr.pl;42026;000
13;PL YSF016;SR8UWD Wlodawa;ysf016.wiresx.pl;42000;000
14;Poland 21;DMR TG260021;ysf021.ham-dmr.pl;42021;000
15;Poland 22;DMR TG260022;ysf022.ham-dmr.pl;42022;000
16;PT YSF009;C4FM-Portugal;c4fm.from-ct.com;42000;000
17;RO YSF226;C4FM Romania;xrf226.hamnet.ro;42000;000
18;SE YSF699;Tekniksnack;ysf.tekniksnack.se;42000;000
19;SP EmCom;EmCom TG260023;ysf023.ham-dmr.pl;42023;000
20;TechTalk24;Engineers talk;ysf024.ham-dmr.pl;42024;000
21;UK DVMEGA;DVMEGA CHAT;c4fm.pa7lim.nl;42001;000
22;UK Scotland;Scottish YSF;c4fm.gb7de.co.uk;42000;000
23;UK_YSF_BM_UK;UK_Ref_DN_ONLY;bm-dmr.uk;42000;000
24;US Nationwide;United States;174.36.222.36;42000;000
25;US NJ PA Asteris;Link to BM 313;ysf.njpaasterisk.org;42000;000
26;US WMTG;WMTG Fusion;ysf.wmtg.me;42000;000
27;US YSF008 USA;DVSwitch Test;ysfreflector.dvswitch.org;42000;000
28;US-YSF587MiFL;YSF-QNetBridge;ysfqbridge.noip.us;42000;000
29;YSF004 MI5 SW2;Crossconnect t;c4fm-mi5.kb8zgl.net;42000;000
30;YSF006 NORWAY;24299+XLX404D;ysf.hamlabs.no;42000;000
31;YSF017;YSFLatino TG-9;ysf-latino.ddns.net;42000;000
99;ZZ Parrot;Parrot;127.0.0.1;42000;000
